day_file,roc_auc,pr_auc,precision,recall,f1,total_frauds,stop_actions,manual_actions,allow_actions
time_series_day_1.parquet,0.9812865600550319,0.1337275299747347,0.043835616438356165,0.7368421052631579,0.08274842999630587,152,282,2273,209532
time_series_day_10.parquet,0.9932980551733221,0.34760532033595526,0.023157082207641837,0.994475138121547,0.04526024641689716,181,759,7014,204314
time_series_day_11.parquet,0.9912031522037936,0.1585765950254774,0.006354166666666667,0.9682539682539683,0.012625478629825106,63,575,9025,202487
time_series_day_12.parquet,0.994541642818549,0.35352752754757105,0.021166246145220072,0.9320987654320988,0.04139254385964912,162,398,6736,204953
time_series_day_13.parquet,0.9941761495830056,0.30545601585735527,0.011268548477072409,0.9805825242718447,0.02228105007721156,103,457,8506,203124
time_series_day_14.parquet,0.9961367474577034,0.32097666590910895,0.03011487115802546,0.9948717948717949,0.05846014765707398,195,711,5731,205645
time_series_day_15.parquet,0.9928822481198435,0.2501756132016924,0.010283294686964413,0.9902912621359223,0.020355218519257635,103,613,9306,202168
time_series_day_16.parquet,0.9961042285762333,0.3353636364328968,0.020455602045560205,1.0,0.04009111617312073,176,653,7951,203483
time_series_day_17.parquet,0.9693616177985216,0.6147821034498007,0.9444444444444444,0.3333333333333333,0.4927536231884058,102,6,30,212051
time_series_day_18.parquet,0.9928708855123282,0.6988761260920574,0.02039408866995074,0.9764150943396226,0.039953676896352056,212,899,9251,201937
time_series_day_19.parquet,0.9648898212692854,0.5777364543122572,0.967391304347826,0.4362745098039216,0.6013513513513513,204,14,78,211995
time_series_day_2.parquet,0.9873438387743508,0.2747705713191789,0.009695973705834018,0.9076923076923077,0.0191869918699187,65,378,5707,206002
time_series_day_20.parquet,0.968016115940024,0.13381071983942355,0.002621506842132858,0.9259259259259259,0.005228211428870183,54,4753,14320,193014
time_series_day_21.parquet,0.9739230576675976,0.2750957317305078,0.01437976437976438,0.8469387755102041,0.0282793867120954,196,3085,8459,200543
time_series_day_22.parquet,0.9616074414212371,0.17426084792514837,0.003790235899756746,0.881578947368421,0.007548020052948797,76,4330,13347,194410
time_series_day_23.parquet,0.9709439757207039,0.16380641102295285,0.011247561115574428,0.6621621621621622,0.02211939961629613,148,1450,7263,203374
time_series_day_24.parquet,0.9688151227930929,0.519230974171766,0.9166666666666666,0.4782608695652174,0.6285714285714286,92,0,48,212039
time_series_day_25.parquet,0.9775613499476762,0.2702119194416812,0.020739064856711915,0.8168316831683168,0.040451090953665114,202,1228,6728,204131
time_series_day_26.parquet,0.9589063949723708,0.325905278953912,0.75,0.2571428571428571,0.3829787234042553,70,0,24,212063
time_series_day_27.parquet,0.9800103673201906,0.2737397591934813,0.022604951560818085,0.8669724770642202,0.0440610793798811,218,957,7404,203726
time_series_day_28.parquet,0.9455648697313752,0.4096295275211677,1.0,0.32954545454545453,0.49572649572649574,88,0,29,212058
time_series_day_29.parquet,0.9819614814223997,0.39821886978014687,0.21812727662309836,0.68048128342246,0.3303585915950024,1496,963,3704,207420
time_series_day_3.parquet,0.989313206222619,0.2946401062708739,0.024759732855513927,0.9156626506024096,0.04821570182394925,166,396,5743,205948
time_series_day_30.parquet,0.9773497185628588,0.40935022971254303,0.22335942203491874,0.6807339449541284,0.33635539437896644,2180,1716,4928,205453
time_series_day_4.parquet,0.9870071413331664,0.19627466490685688,0.009852787759360148,0.9340659340659341,0.019499885294792383,91,589,8038,203460
time_series_day_5.parquet,0.9943591049661563,0.6095262228874673,0.14491525423728813,0.9375,0.25102759835584265,912,612,5288,206187
time_series_day_6.parquet,0.9969050498132802,0.36730982385670596,0.018205461638491547,1.0,0.035759897828863345,154,606,7853,203628
time_series_day_7.parquet,0.9950761916889511,0.24006598129011944,0.006966040552307501,1.0,0.013835701050030883,56,464,7575,204048
time_series_day_8.parquet,0.9966369048183555,0.3463680240929587,0.03333852625019473,1.0,0.06452585557063169,214,784,5635,205668
time_series_day_9.parquet,0.9945009637945722,0.3064786830253785,0.00880530492444831,0.9878048780487805,0.01745501562331645,82,614,8585,202888
